dataset,attacker_fraction_requested,attacker_fraction_effective,num_attackers,target_alt,clean_target_rank,method,spearman,kendall,top1_acc,target_rank,target_rank_error,target_blocked
healthcare_resource_allocation,0.20,0.200,3,衡水市_2008,300,M4,1.000±0.000,0.987±0.000,1.000±0.000,300,0.000±0.000,True
healthcare_resource_allocation,0.20,0.200,3,衡水市_2008,300,M5,0.987±0.000,0.976±0.000,1.000±0.000,62,238.467±0.499,False
healthcare_resource_allocation,0.20,0.200,3,衡水市_2008,300,M6,1.000±0.000,0.987±0.000,1.000±0.000,300,0.000±0.000,True
healthcare_resource_allocation,0.20,0.200,3,衡水市_2008,300,M7,1.000±0.000,0.986±0.000,0.967±0.180,300,0.000±0.000,True
healthcare_resource_allocation,0.30,0.267,4,衡水市_2008,300,M1,0.980,0.970,0.000,1,299.000,False
healthcare_resource_allocation,0.30,0.267,4,衡水市_2008,300,M2,0.986±0.000,0.974±0.000,0.900±0.300,52,246.600±4.521,False
healthcare_resource_allocation,0.30,0.267,4,衡水市_2008,300,M3,1.000,0.993,1.000,300,0.000,True
healthcare_resource_allocation,0.30,0.267,4,衡水市_2008,300,M4,1.000±0.000,0.986±0.000,1.000±0.000,300,0.000±0.000,True
healthcare_resource_allocation,0.30,0.267,4,衡水市_2008,300,M5,0.982±0.000,0.974±0.000,0.967±0.180,16,284.000±0.000,False
healthcare_resource_allocation,0.30,0.267,4,衡水市_2008,300,M6,1.000±0.000,0.986±0.000,0.867±0.340,300,0.000±0.000,True
healthcare_resource_allocation,0.30,0.267,4,衡水市_2008,300,M7,1.000±0.000,0.986±0.000,0.000±0.000,300,0.000±0.000,True
healthcare_resource_allocation,0.40,0.400,6,衡水市_2008,300,M1,0.979,0.966,0.000,1,299.000,False
healthcare_resource_allocation,0.40,0.400,6,衡水市_2008,300,M2,0.981±0.000,0.967±0.001,1.000±0.000,11,289.333±2.241,False
healthcare_resource_allocation,0.40,0.400,6,衡水市_2008,300,M3,1.000,0.989,1.000,300,0.000,True
healthcare_resource_allocation,0.40,0.400,6,衡水市_2008,300,M4,0.999±0.000,0.984±0.000,1.000±0.000,300,0.000±0.000,True
healthcare_resource_allocation,0.40,0.400,6,衡水市_2008,300,M5,0.999±0.000,0.982±0.000,1.000±0.000,300,0.000±0.000,True
healthcare_resource_allocation,0.40,0.400,6,衡水市_2008,300,M6,0.999±0.000,0.984±0.000,1.000±0.000,300,0.000±0.000,True
healthcare_resource_allocation,0.40,0.400,6,衡水市_2008,300,M7,0.999±0.000,0.983±0.000,1.000±0.000,300,0.000±0.000,True
healthcare_resource_allocation,0.50,0.533,8,衡水市_2008,300,M1,0.979,0.960,0.000,1,299.000,False
healthcare_resource_allocation,0.50,0.533,8,衡水市_2008,300,M2,0.979±0.000,0.960±0.000,0.433±0.496,1,298.400±0.757,False
healthcare_resource_allocation,0.50,0.533,8,衡水市_2008,300,M3,0.348,0.228,0.000,1,299.000,False
healthcare_resource_allocation,0.50,0.533,8,衡水市_2008,300,M4,0.978±0.001,0.949±0.009,0.000±0.000,1,299.000±0.000,False
healthcare_resource_allocation,0.50,0.533,8,衡水市_2008,300,M5,0.978±0.000,0.953±0.000,0.000±0.000,1,299.000±0.000,False
healthcare_resource_allocation,0.50,0.533,8,衡水市_2008,300,M6,0.979±0.000,0.960±0.000,0.000±0.000,1,299.000±0.000,False
healthcare_resource_allocation,0.50,0.533,8,衡水市_2008,300,M7,0.999±0.000,0.979±0.000,1.000±0.000,300,0.000±0.000,True
healthcare_resource_allocation,0.60,0.600,9,衡水市_2008,300,M1,0.979,0.959,0.000,1,299.000,False
healthcare_resource_allocation,0.60,0.600,9,衡水市_2008,300,M2,0.979±0.000,0.959±0.000,0.000±0.000,1,299.000±0.000,False
healthcare_resource_allocation,0.60,0.600,9,衡水市_2008,300,M3,0.348,0.228,0.000,1,299.000,False
healthcare_resource_allocation,0.60,0.600,9,衡水市_2008,300,M4,0.956±0.113,0.920±0.129,0.000±0.000,1,299.000±0.000,False
healthcare_resource_allocation,0.60,0.600,9,衡水市_2008,300,M5,0.978±0.000,0.954±0.000,0.000±0.000,1,299.000±0.000,False
healthcare_resource_allocation,0.60,0.600,9,衡水市_2008,300,M6,0.978±0.000,0.956±0.001,0.000±0.000,1,299.000±0.000,False
healthcare_resource_allocation,0.60,0.600,9,衡水市_2008,300,M7,0.999±0.000,0.978±0.000,1.000±0.000,300,0.000±0.000,True
