evidence_set,dataset,mode,alternatives,criteria,decision_makers,target_alt,clean_target_rank,method,spearman,spearman_mean,spearman_std,kendall,kendall_mean,kendall_std,top1_acc,top1_mean,top1_std,target_rank,target_rank_error,target_rank_error_mean,target_rank_error_std,target_blocked
light_all_datasets_5x50,healthcare_countries_2021,clean,26,13,15,Romania,26,M6,0.999±0.001,0.999,0.001,0.993±0.005,0.993,0.005,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_countries_2021,clean,26,13,15,Romania,26,M7,1.000±0.000,1.0,0.0,0.998±0.003,0.998,0.003,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_countries_2021,contaminated,26,13,15,Romania,26,M1,0.771±0.000,0.771,0.0,0.797±0.000,0.797,0.0,0.000±0.000,0.0,0.0,1,25.000±0.000,25.0,0.0,False
light_all_datasets_5x50,healthcare_countries_2021,contaminated,26,13,15,Romania,26,M2,0.869±0.005,0.869,0.005,0.856±0.005,0.856,0.005,1.000±0.000,1.0,0.0,7,18.800±0.400,18.8,0.4,False
light_all_datasets_5x50,healthcare_countries_2021,contaminated,26,13,15,Romania,26,M3,0.999±0.000,0.999,0.0,0.994±0.000,0.994,0.0,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_countries_2021,contaminated,26,13,15,Romania,26,M4,0.999±0.000,0.999,0.0,0.993±0.002,0.993,0.002,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_countries_2021,contaminated,26,13,15,Romania,26,M5,0.838±0.000,0.838,0.0,0.841±0.002,0.841,0.002,1.000±0.000,1.0,0.0,5,21.000±0.000,21.0,0.0,False
light_all_datasets_5x50,healthcare_countries_2021,contaminated,26,13,15,Romania,26,M6,0.999±0.000,0.999,0.0,0.993±0.002,0.993,0.002,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_countries_2021,contaminated,26,13,15,Romania,26,M7,0.999±0.000,0.999,0.0,0.993±0.002,0.993,0.002,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_resource_allocation,clean,80,18,15,邯郸市_2008,80,M1,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_resource_allocation,clean,80,18,15,邯郸市_2008,80,M2,0.999±0.000,0.999,0.0,0.988±0.001,0.988,0.001,1.000±0.000,1.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_resource_allocation,clean,80,18,15,邯郸市_2008,80,M3,1.000±0.000,1.0,0.0,0.996±0.000,0.996,0.0,1.000±0.000,1.0,0.0,80,0.000±0.000,0.0,0.0,True
