dataset,attacker_fraction_requested,attacker_fraction_effective,method,metric,mean,std,n,ci95_low,ci95_high
car_evaluation,0.40,0.400,M2,spearman,0.988000,0.001000,30,0.987627,0.988373
car_evaluation,0.40,0.400,M2,kendall,0.966000,0.000000,30,0.966000,0.966000
car_evaluation,0.40,0.400,M2,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.40,0.400,M2,target_rank_error,225.933000,6.314000,30,223.575578,228.290422
car_evaluation,0.40,0.400,M3,spearman,0.999000,,1,0.999000,0.999000
car_evaluation,0.40,0.400,M3,kendall,0.980000,,1,0.980000,0.980000
car_evaluation,0.40,0.400,M3,top1_acc,1.000000,,1,1.000000,1.000000
car_evaluation,0.40,0.400,M3,target_rank_error,0.000000,,1,0.000000,0.000000
car_evaluation,0.40,0.400,M4,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.40,0.400,M4,kendall,0.977000,0.000000,30,0.977000,0.977000
car_evaluation,0.40,0.400,M4,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.40,0.400,M4,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.40,0.400,M5,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.40,0.400,M5,kendall,0.977000,0.000000,30,0.977000,0.977000
car_evaluation,0.40,0.400,M5,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.40,0.400,M5,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.40,0.400,M6,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.40,0.400,M6,kendall,0.977000,0.000000,30,0.977000,0.977000
car_evaluation,0.40,0.400,M6,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.40,0.400,M6,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.40,0.400,M7,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.40,0.400,M7,kendall,0.977000,0.000000,30,0.977000,0.977000
car_evaluation,0.40,0.400,M7,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.40,0.400,M7,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.50,0.533,M1,spearman,0.979000,,1,0.979000,0.979000
car_evaluation,0.50,0.533,M1,kendall,0.958000,,1,0.958000,0.958000
car_evaluation,0.50,0.533,M1,top1_acc,0.000000,,1,0.000000,0.000000
car_evaluation,0.50,0.533,M1,target_rank_error,299.000000,,1,299.000000,299.000000
car_evaluation,0.50,0.533,M2,spearman,0.981000,0.000000,30,0.981000,0.981000
car_evaluation,0.50,0.533,M2,kendall,0.961000,0.000000,30,0.961000,0.961000
car_evaluation,0.50,0.533,M2,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.50,0.533,M2,target_rank_error,282.967000,2.869000,30,281.895818,284.038182
car_evaluation,0.50,0.533,M3,spearman,-0.540000,,1,-0.540000,-0.540000
car_evaluation,0.50,0.533,M3,kendall,-0.378000,,1,-0.378000,-0.378000
car_evaluation,0.50,0.533,M3,top1_acc,0.000000,,1,0.000000,0.000000
car_evaluation,0.50,0.533,M3,target_rank_error,299.000000,,1,299.000000,299.000000
car_evaluation,0.50,0.533,M4,spearman,0.876000,0.378000,30,0.734868,1.017132
car_evaluation,0.50,0.533,M4,kendall,0.858000,0.330000,30,0.734790,0.981210
car_evaluation,0.50,0.533,M4,top1_acc,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.50,0.533,M4,target_rank_error,299.000000,0.000000,30,299.000000,299.000000
car_evaluation,0.50,0.533,M5,spearman,0.979000,0.000000,30,0.979000,0.979000
